JDK         | OpenJDK | OracleJDK | Temurin
JDK-8298376 | N       | N         | Y      
JDK-8298377 | N       | N         | Y      
JDK-8298380 | N       | N         | Y      
JDK-8298381 | N       | N         | Y      
JDK-8298400 | N       | N         | Y      
JDK-8298402 | N       | N         | Y      
JDK-8298413 | N       | N         | Y      
JDK-8298414 | N       | N         | Y      
JDK-8298416 | N       | N         | Y      
JDK-8298417 | N       | N         | Y      
JDK-8298419 | N       | N         | Y      
JDK-8298424 | N       | N         | Y      
JDK-8298425 | N       | N         | Y      
JDK-8298445 | N       | N         | Y      
JDK-8298447 | N       | N         | Y      
JDK-8298448 | N       | N         | Y      
JDK-8298449 | N       | N         | Y      
JDK-8298455 | N       | N         | Y      
JDK-8298457 | N       | N         | Y      
JDK-8298459 | N       | N         | Y      
JDK-8298463 | N       | N         | Y      
JDK-8298468 | N       | N         | Y      
JDK-8298469 | N       | N         | Y      
JDK-8298470 | N       | N         | Y      
JDK-8298471 | N       | N         | Y      
JDK-8298472 | N       | N         | Y      
JDK-8298475 | N       | N         | Y      
JDK-8298478 | N       | N         | Y      
JDK-8298480 | N       | N         | Y      
JDK-8298482 | N       | N         | Y      
JDK-8298488 | N       | N         | Y      
JDK-8298498 | N       | N         | Y      
JDK-8298513 | N       | N         | Y      
JDK-8298514 | N       | N         | Y      
JDK-8298520 | N       | N         | Y      
JDK-8298521 | N       | N         | Y      
JDK-8298524 | N       | N         | Y      
JDK-8298525 | N       | N         | Y      
JDK-8298526 | N       | N         | Y      
JDK-8298527 | N       | N         | Y      
JDK-8298567 | N       | N         | Y      
JDK-8298568 | N       | N         | Y      
JDK-8298576 | N       | N         | Y      
JDK-8298588 | N       | N         | Y      
JDK-8298589 | N       | N         | Y      
JDK-8298590 | N       | N         | Y      
JDK-8298592 | N       | N         | Y      
JDK-8298596 | N       | N         | Y      
JDK-8298601 | N       | N         | Y      
JDK-8298610 | N       | N         | Y      
JDK-8298612 | N       | N         | Y      
JDK-8298618 | N       | N         | Y      
JDK-8298619 | N       | N         | Y      
JDK-8298632 | N       | N         | Y      
JDK-8298636 | N       | N         | Y      
JDK-8298639 | N       | N         | Y      
JDK-8298642 | N       | N         | Y      
JDK-8298643 | N       | N         | Y      
JDK-8298644 | N       | N         | Y      
JDK-8298645 | N       | N         | Y      
JDK-8298649 | N       | N         | Y      
JDK-8298651 | N       | N         | Y      
JDK-8298652 | N       | N         | Y      
JDK-8298667 | N       | N         | Y      
JDK-8298692 | N       | N         | Y      
JDK-8298699 | N       | N         | Y      
JDK-8298700 | N       | N         | Y      
JDK-8298701 | N       | N         | Y      
JDK-8298709 | N       | N         | Y      
JDK-8298710 | N       | N         | Y      
JDK-8298720 | N       | N         | Y      
JDK-8298725 | N       | N         | Y      
JDK-8298726 | N       | N         | Y      
JDK-8298727 | N       | N         | Y      
JDK-8298730 | N       | N         | Y      
JDK-8298735 | N       | N         | Y      
JDK-8298736 | N       | N         | Y      
JDK-8298784 | N       | N         | Y      
JDK-8298785 | N       | N         | Y      
JDK-8298794 | N       | N         | Y      
JDK-8298797 | N       | N         | Y      
JDK-8298808 | N       | N         | Y      
JDK-8298809 | N       | N         | Y      
JDK-8298813 | N       | N         | Y      
JDK-8298824 | N       | N         | Y      
JDK-8298848 | N       | N         | Y      
JDK-8298852 | N       | N         | Y      
JDK-8298853 | N       | N         | Y      
JDK-8298859 | N       | N         | Y      
JDK-8298865 | N       | N         | Y      
JDK-8298867 | N       | N         | Y      
JDK-8298868 | N       | N         | Y      
JDK-8298869 | N       | N         | Y      
JDK-8298872 | N       | N         | Y      
JDK-8298873 | N       | N         | Y      
JDK-8298874 | N       | N         | Y      
JDK-8298875 | N       | N         | Y      
JDK-8298876 | N       | N         | Y      
JDK-8298880 | N       | N         | Y      
JDK-8298887 | N       | N         | Y      
JDK-8298888 | N       | N         | Y      
JDK-8298889 | N       | N         | Y      
JDK-8298891 | N       | N         | Y      
JDK-8298892 | N       | N         | Y      
JDK-8298893 | N       | N         | Y      
JDK-8298894 | N       | N         | Y      
JDK-8298905 | N       | N         | Y      
JDK-8298907 | N       | N         | Y      
JDK-8298908 | N       | N         | Y      
JDK-8298913 | N       | N         | Y      
JDK-8298919 | N       | N         | Y      
JDK-8298921 | N       | N         | Y      
JDK-8298931 | N       | N         | Y      
JDK-8298935 | N       | N         | Y      
JDK-8298939 | N       | N         | Y      
JDK-8298943 | N       | N         | Y      
JDK-8298947 | N       | N         | Y      
JDK-8298952 | N       | N         | Y      
JDK-8298966 | N       | N         | Y      
JDK-8298968 | N       | N         | Y      
JDK-8298970 | N       | N         | Y      
JDK-8298971 | N       | N         | Y      
JDK-8298974 | N       | N         | Y      
JDK-8298976 | N       | N         | Y      
JDK-8298977 | N       | N         | Y      
JDK-8298978 | N       | N         | Y      
JDK-8298979 | N       | N         | Y      
JDK-8298987 | N       | N         | Y      
JDK-8298989 | N       | N         | Y      
JDK-8298990 | N       | N         | Y      
JDK-8298993 | N       | N         | Y      
JDK-8298995 | N       | N         | Y      
JDK-8299015 | N       | N         | Y      
JDK-8299018 | N       | N         | Y      
JDK-8299022 | N       | N         | Y      
JDK-8299025 | N       | N         | Y      
JDK-8299030 | N       | N         | Y      
JDK-8299031 | N       | N         | Y      
JDK-8299032 | N       | N         | Y      
JDK-8299034 | N       | N         | Y      
JDK-8299038 | N       | N         | Y      
JDK-8299043 | N       | N         | Y      
JDK-8299044 | N       | N         | Y      
JDK-8299045 | N       | N         | Y      
JDK-8299061 | N       | N         | Y      
JDK-8299072 | N       | N         | Y      
JDK-8299074 | N       | N         | Y      
JDK-8299075 | N       | N         | Y      
JDK-8299077 | N       | N         | Y      
JDK-8299079 | N       | N         | Y      
JDK-8299088 | N       | N         | Y      
JDK-8299089 | N       | N         | Y      
JDK-8299090 | N       | N         | Y      
JDK-8299123 | N       | N         | Y      
JDK-8299125 | N       | N         | Y      
JDK-8299127 | N       | N         | Y      
JDK-8299128 | N       | N         | Y      
JDK-8299129 | N       | N         | Y      
JDK-8299146 | N       | N         | Y      
JDK-8299147 | N       | N         | Y      
JDK-8299155 | N       | N         | Y      
JDK-8299156 | N       | N         | Y      
