issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8342056,21.0.6,needs_review,runtime_core,,要確認,,,C2: Fix UB of jlong overflow in PhaseIdealLoop::is_counted_loop(),hotspot,compiler,,21.0.6
JDK-8342057,21.0.6,excluded,interop,,対応不要,targets=macos,non_windows11_platform,ProblemList java/nio/channels/DatagramChannel/ for Macos,core-libs,,,21.0.6
JDK-8342060,21.0.6,needs_review,runtime_core,,要確認,,,AArch64: Save and restore FPCR in the call stub,hotspot,runtime,,21.0.6
JDK-8342063,21.0.6,excluded,interop,,対応不要,"keywords=problemlist,test; labels=noreg-self | targets=aix","doc_or_test,non_windows11_platform",[21u][aix] Backport introduced redundant line in ProblemList,core-libs,java.net,"jdk21u-fix-request,jdk21u-fix-yes,noreg-self",21.0.6
JDK-8342073,21.0.6,needs_review,classlib,,要確認,,,Call to insertText with single character from custom Input Method ignored,client-libs,java.awt,i18n,21.0.6
JDK-8342391,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: Unnecessary fences used for load-acquire in template interpreter,hotspot,runtime,,21.0.6
JDK-8342395,21.0.6,excluded,runtime_core,,対応不要,targets=aix,non_windows11_platform,Assertion on AIX - original PC must be in the main code section of the compiled method,hotspot,runtime,,21.0.6
JDK-8342396,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: Avoid passing t0 as temp register to MacroAssembler:: cmpxchg_obj_header/cmpxchgptr,hotspot,compiler,,21.0.6
JDK-8342491,21.0.6,needs_review,test_infra,,要確認,,,[test] build/AbsPathsInImage.java fails with OOM when using ubsan-enabled binaries,infrastructure,build,,21.0.6
JDK-8342516,21.0.6,needs_review,runtime_core,,要確認,,,"[AArch64] C1 compilation fails with ""Field too big for insn""",hotspot,compiler,,21.0.6
JDK-8342527,21.0.6,needs_review,runtime_core,,要確認,,,Ubsan: ciEnv.cpp:1660:65: runtime error: member call on null pointer of type 'struct CompileTask',hotspot,compiler,,21.0.6
JDK-8342532,21.0.6,needs_review,runtime_core,,要確認,,,RISC-V: ZStoreBarrierStubC2 clobbers rflags,hotspot,compiler,,21.0.6
JDK-8342551,21.0.6,needs_review,runtime_core,,要確認,,,Tests assume UnlockExperimentalVMOptions is disabled by default,hotspot,test,,21.0.6
JDK-8342554,21.0.6,needs_review,classlib,,要確認,,,Crash in ImageIO JPEG decoding when MEM_STATS in enabled,client-libs,javax.imageio,,21.0.6
JDK-8342571,21.0.6,needs_review,runtime_core,,要確認,,,AArch64: Restore FPU control state after JNI,hotspot,runtime,,21.0.6
JDK-8342572,21.0.6,needs_review,runtime_core,,要確認,,,Aarch64: Generate comments in -XX:+PrintInterpreter to link to source code,hotspot,runtime,,21.0.6
JDK-8342573,21.0.6,needs_review,test_infra,,要確認,,,Gcc version detection failure on Alinux3,infrastructure,build,,21.0.6
JDK-8342669,21.0.6,excluded,runtime_core,,対応不要,keywords=test; labels=noreg-self,doc_or_test,[21u] Fix TestArrayAllocatorMallocLimit after backport of JDK-8315097,hotspot,test,"jdk17u-fix-request,jdk17u-fix-yes,jdk21u-fix-request,jdk21u-fix-yes,noreg-self",21.0.6
JDK-8342685,21.0.6,needs_review,classlib,,要確認,,,Use PassFailJFrame.Builder.splitUI() in PrintLatinCJKTest.java,client-libs,java.awt,,21.0.6
JDK-8342710,21.0.6,needs_review,runtime_core,,要確認,,,CTW: Add StressIncrementalInlining to stress options,hotspot,compiler,,21.0.6
JDK-8342722,21.0.6,needs_review,runtime_core,,要確認,,,[JVMCI] Unintuitive behavior of UseJVMCICompiler option,hotspot,compiler,,21.0.6
JDK-8342726,21.0.6,needs_review,interop,,要確認,,,Tests create files in src tree instead of scratch dir,core-libs,java.nio,,21.0.6
JDK-8342765,21.0.6,excluded,runtime_core,,対応不要,keywords=test; labels=noreg-self,doc_or_test,[21u] RTM tests assume UnlockExperimentalVMOptions is disabled by default,hotspot,test,"amazon-interest,jdk21u-fix-request,jdk21u-fix-yes,noreg-self,sustaining",21.0.6
JDK-8342793,21.0.6,needs_review,classlib,,要確認,,,Implement pausing functionality for the PassFailJFrame,client-libs,,,21.0.6
JDK-8342851,21.0.6,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bshenandoah\b,gc_related,Shenandoah: Unused ShenandoahSATBAndRemarkThreadsClosure::_claim_token,hotspot,gc,,21.0.6
JDK-8342900,21.0.6,needs_review,interop,,要確認,,,SaslInputStream.read() may return wrong value,core-libs,javax.naming,,21.0.6
JDK-8342922,21.0.6,needs_review,classlib,,要確認,,,Add a log area to the PassFailJFrame,client-libs,,,21.0.6
JDK-8342942,21.0.6,needs_review,classlib,,要確認,,,Unused ClassValue in VarHandles,core-libs,java.lang.invoke,,21.0.6
JDK-8343028,21.0.6,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bg1\b,gc_related,G1: Nmethod count statistics only count last code root set iterated,hotspot,gc,,21.0.6
JDK-8343042,21.0.6,needs_review,classlib,,要確認,,,"When the Tab Policy is checked,the scroll button direction displayed incorrectly.",client-libs,javax.swing,,21.0.6
JDK-8343043,21.0.6,needs_review,classlib,,要確認,,,click JComboBox when dialog about to close causes IllegalComponentStateException,client-libs,javax.swing,,21.0.6
JDK-8343045,21.0.6,needs_review,classlib,,要確認,,,PageFormat/CustomPaper.java has no Pass/Fail buttons; multiple instructions,client-libs,2d,,21.0.6
JDK-8343046,21.0.6,needs_review,security,,要確認,,,Ensure randomness is only read from provided SecureRandom object,security-libs,java.security,,21.0.6
JDK-8343199,21.0.6,needs_review,classlib,,要確認,,,Convert URLDragTest.html applet test to main,client-libs,java.awt,,21.0.6
JDK-8343203,21.0.6,needs_review,runtime_core,,要確認,,,[PPC64]: postalloc_expand_java_dynamic_call_sched does not copy all fields,hotspot,compiler,,21.0.6
JDK-8343210,21.0.6,needs_review,runtime_core,,要確認,,,[PPC64] TestOSRLotsOfLocals.java crashes,hotspot,compiler,,21.0.6
JDK-8343253,21.0.6,needs_review,test_infra,,要確認,,,--enable-ccache's CCACHE_BASEDIR breaks builds,infrastructure,build,,21.0.6
JDK-8343254,21.0.6,excluded,classlib,,対応不要,targets=macos,non_windows11_platform,[macos] Screen magnifier does not show the magnified text for JComboBox,client-libs,javax.accessibility,,21.0.6
JDK-8343255,21.0.6,excluded,classlib,performance_regression,対応不要,targets=macos,non_windows11_platform,[macos] Regression: KeyEvent has different keycode on different keyboard layouts,client-libs,java.awt,,21.0.6
