issue_id,release,impact_status,feature_area,highlight_tags,action_required,impact_notes,applied_rules,summary,components,subcomponents,labels,fix_versions
JDK-8353865,21.0.8,needs_review,runtime_core,,要確認,,,"memory_swap_current_in_bytes reports 0 as ""unlimited""",hotspot,runtime,,21.0.8
JDK-8353866,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source several AWT Robot tests,client-libs,java.awt,,21.0.8
JDK-8353867,21.0.8,excluded,gc,,対応不要,component=hotspot/gc,gc_related,[TESTBUG] gtest CollectorPolicy.young_scaled_initial_ergo_vm fails if heap is too small,hotspot,gc,,21.0.8
JDK-8353870,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source DnD tests - Set4,client-libs,java.awt,,21.0.8
JDK-8353872,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few Cursor tests - Set2,client-libs,java.awt,,21.0.8
JDK-8353874,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few TrayIcon tests - Set8,client-libs,java.awt,,21.0.8
JDK-8353876,21.0.8,excluded,classlib,,対応不要,"keywords=open source,test",doc_or_test,Open source few DnD tests - Set6,client-libs,java.awt,,21.0.8
JDK-8353877,21.0.8,needs_review,classlib,,要確認,,,test/jdk/javax/swing/JRadioButton/8033699/bug8033699.java fails in ubuntu22.04,client-libs,javax.swing,,21.0.8
JDK-8353893,21.0.8,excluded,gc,,対応不要,component=hotspot/gc,gc_related,CollectorPolicy.young_scaled_initial_ergo_vm gtest fails on ppc64 based platforms,hotspot,gc,,21.0.8
JDK-8353894,21.0.8,needs_review,security,,要確認,,,Restore null return for invalid services from legacy providers,security-libs,java.security,,21.0.8
JDK-8353900,21.0.8,needs_review,interop,,要確認,,,Race condition in jdk/java/net/httpclient/offline/FixedResponseHttpClient.java,core-libs,java.net,,21.0.8
JDK-8353901,21.0.8,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bgc\b,gc_related,nsk.share.gc.Memory::getArrayLength returns wrong value,hotspot,gc,,21.0.8
JDK-8353921,21.0.8,needs_review,classlib,,要確認,,,(tz) Update Timezone Data to 2025b,core-libs,java.time,,21.0.8
JDK-8353922,21.0.8,excluded,gc,,対応不要,component=hotspot/gc; keywords=\bg1\b,gc_related,G1: interpreter post-barrier x86 code asserts index size of wrong buffer,hotspot,gc,,21.0.8
JDK-8354058,21.0.8,needs_review,runtime_core,,要確認,,,AArch64: turn on signum intrinsics by default on Ampere CPUs,hotspot,compiler,,21.0.8
